Sensor at x=2389280, y=2368338: closest beacon is at x=2127703, y=2732666
Sensor at x=1882900, y=3151610: closest beacon is at x=2127703, y=2732666
Sensor at x=2480353, y=3555879: closest beacon is at x=2092670, y=3609041
Sensor at x=93539, y=965767: closest beacon is at x=501559, y=361502
Sensor at x=357769, y=2291291: closest beacon is at x=262473, y=2000000
Sensor at x=2237908, y=1893142: closest beacon is at x=2127703, y=2732666
Sensor at x=2331355, y=3906306: closest beacon is at x=2092670, y=3609041
Sensor at x=3919787, y=2021847: closest beacon is at x=2795763, y=2589706
Sensor at x=3501238, y=3327244: closest beacon is at x=3562181, y=3408594
Sensor at x=1695968, y=2581703: closest beacon is at x=2127703, y=2732666
Sensor at x=3545913, y=3356504: closest beacon is at x=3562181, y=3408594
Sensor at x=1182450, y=1405295: closest beacon is at x=262473, y=2000000
Sensor at x=3067566, y=3753120: closest beacon is at x=3562181, y=3408594
Sensor at x=1835569, y=3983183: closest beacon is at x=2092670, y=3609041
Sensor at x=127716, y=2464105: closest beacon is at x=262473, y=2000000
Sensor at x=3065608, y=3010074: closest beacon is at x=2795763, y=2589706
Sensor at x=2690430, y=2693094: closest beacon is at x=2795763, y=2589706
Sensor at x=2051508, y=3785175: closest beacon is at x=2092670, y=3609041
Sensor at x=2377394, y=3043562: closest beacon is at x=2127703, y=2732666
Sensor at x=1377653, y=37024: closest beacon is at x=501559, y=361502
Sensor at x=2758174, y=2627042: closest beacon is at x=2795763, y=2589706
Sensor at x=1968468, y=2665146: closest beacon is at x=2127703, y=2732666
Sensor at x=3993311, y=3779031: closest beacon is at x=3562181, y=3408594
Sensor at x=159792, y=1923149: closest beacon is at x=262473, y=2000000
Sensor at x=724679, y=3489022: closest beacon is at x=2092670, y=3609041
Sensor at x=720259, y=121267: closest beacon is at x=501559, y=361502
Sensor at x=6, y=46894: closest beacon is at x=501559, y=361502
Sensor at x=21501, y=2098549: closest beacon is at x=262473, y=2000000
Sensor at x=2974083, y=551886: closest beacon is at x=4271266, y=-98555
